CNT,gender,immigrant_status,belonging,math_anxiety,parent_edu,parent_occ,ict_resources,ses,math_score,ses_quartile,country
PSE,Female,1.0,0.5159,0.5653,5.0,22.75,-1.2709,-1.7226,485.9853999999999,Q1 (Lowest),Palestine
PSE,Male,1.0,2.2967,-1.1715,8.0,75.54,-1.6716,0.2749,621.0391999999999,Q3,Palestine
PSE,Male,1.0,-0.6435,-0.508,7.0,35.34,1.1294,-0.3537,402.06350000000003,Q2,Palestine
PSE,Female,1.0,0.5453,-2.3945,8.0,17.0,-0.9406,-1.0791,391.9542,Q1 (Lowest),Palestine
PSE,Female,1.0,-0.1965,-0.2885,6.0,17.0,-1.2414,-1.6907,432.4011999999999,Q1 (Lowest),Palestine
PSE,Female,1.0,-0.8205,0.133,7.0,52.4,-1.663,-0.527,367.3071,Q2,Palestine
PSE,Female,1.0,0.5159,-0.6243,9.0,82.41,-0.7836,0.3807,413.43510000000003,Q3,Palestine
PSE,Female,1.0,-0.3128,-0.0575,7.0,75.54,-0.3601,0.0553,454.92459999999994,Q3,Palestine
PSE,Male,1.0,0.0518,-0.1172,7.0,17.0,-1.9706,-1.2259,320.67479999999995,Q1 (Lowest),Palestine
PSE,Female,1.0,-0.4886,-0.4577,6.0,17.0,-3.2063,-2.3492,365.75359999999995,Q1 (Lowest),Palestine
PSE,Female,1.0,-1.0302,,7.0,16.5,0.3149,-0.8256,268.7169,Q2,Palestine
PSE,Male,1.0,-0.7553,,6.0,33.76,-1.43,-1.5322,331.9126,Q1 (Lowest),Palestine
PSE,Male,,-1.3989,,5.0,33.76,-1.7465,-1.7862,443.5143,Q1 (Lowest),Palestine
PSE,Male,1.0,-0.4481,0.1932,8.0,85.13,-2.5184,-0.4361,394.2541,Q2,Palestine
PSE,Male,1.0,1.4872,,7.0,22.75,-1.4257,-1.0825,371.91510000000005,Q1 (Lowest),Palestine
PSE,Male,1.0,-0.4238,0.8546,8.0,,-1.2752,0.309,288.7123,Q3,Palestine
PSE,Male,1.0,-1.2928,-0.0365,10.0,17.0,-0.4048,-0.1733,276.89149999999995,Q2,Palestine
PSE,Male,1.0,-0.1406,,4.0,61.18,-0.426,-0.5512,467.3508,Q2,Palestine
PSE,Female,1.0,-0.3397,0.1931,10.0,79.49,-1.4098,-0.0132,402.44930000000005,Q3,Palestine
PSE,Male,1.0,-0.9199,0.3729,7.0,17.0,-2.1966,-1.6518,346.5731,Q1 (Lowest),Palestine
PSE,Male,1.0,-0.7973,,10.0,17.0,0.3735,-0.3843,363.47830000000005,Q2,Palestine
PSE,Female,1.0,0.2869,,3.0,17.0,-1.7752,-2.5392,395.2344,Q1 (Lowest),Palestine
PSE,Male,1.0,,,6.0,62.39,-0.0395,-0.2883,337.7315,Q2,Palestine
PSE,Female,1.0,-0.3677,0.133,5.0,33.76,-1.8229,-1.3845,385.2844,Q1 (Lowest),Palestine
PSE,Female,1.0,-0.3397,0.6387,8.0,17.0,-1.2736,-1.0812,372.95550000000003,Q1 (Lowest),Palestine
PSE,Male,1.0,-1.0414,0.8546,5.0,33.76,-1.584,-1.4768,348.09369999999996,Q1 (Lowest),Palestine
